# showered cut acceptances for CMSalphaT
# (colored sparticle combination given by filename)
# column 1: squark mass
# column 2: gluino mass
# column 3: lighter neutralino mass
# column 4: heavier neutralino mass
# columns 5 to 11: acceptances for combinations of the below cuts.
# column 5 is all the cuts. the next columns relax
# some of the cuts in a binary ordering. to relax cut
# n, go along 2^( n - 1 ) columns from column 5
# [e.g. column 6 relaxes cut 1, column 9 relaxes
# cut 3]. subsequent applications of this work
# [e.g. column 10 relaxes cuts 1 and 3, as it is
# column 5 + 2^( 1 - 1 ) + 2^( 3 - 1 )]
# cut 1: 2 jet pT cuts: 100, 100 GeV (also |eta| < 3)
# cut 2: cut on scalar sum of jet pTs > 350
# cut 3: CMS alphaT cut > 0.55
 100 1800 80 80 0.0447264 0.0448545 0.0449827 0.0460079 0.994105 0.996155 0.995002
 100 1900 0 80 0.0147783 0.0147783 0.0147783 0.0166256 0.99569 0.996305 0.996305
 100 1900 0 40 0.0194505 0.0194505 0.0201799 0.0206662 0.990761 0.994165 0.991977
 100 1900 0 0 0.0221503 0.0224093 0.0222798 0.0226684 0.993782 0.996373 0.995207
 100 1900 40 80 0.0171171 0.0175676 0.0175676 0.0189189 0.991892 0.995045 0.993243
 100 1900 40 40 0.0238631 0.0238631 0.0238631 0.0243134 0.994147 0.996398 0.994147
 100 1900 80 80 0.0392881 0.0399597 0.0392881 0.0406313 0.990262 0.993956 0.992948
 100 2000 0 80 0.0194421 0.0202874 0.0202874 0.021978 0.993238 0.995773 0.996619
 100 2000 0 40 0.016184 0.016184 0.0178876 0.0178876 0.984668 0.989779 0.987223
 100 2000 0 0 0.0191011 0.0191011 0.0191011 0.0202247 0.995506 0.998876 0.995506
 100 2000 40 80 0.0243902 0.0252313 0.0243902 0.0260723 0.994954 0.998318 0.994954
 100 2000 40 40 0.0205366 0.0205366 0.0211991 0.0218615 0.991719 0.993707 0.993375
 100 2000 80 80 0.0416214 0.0423453 0.0416214 0.0427072 0.992761 0.996743 0.993123
 200 100 0 80 0.0027 0.0038 0.0126 0.1479 0.1011 0.133 0.1908
 200 100 0 40 0.001 0.0017 0.0078 0.1544 0.0792 0.1047 0.1534
 200 100 0 0 0.0014 0.002 0.0091 0.1729 0.0569 0.078 0.1224
 200 100 40 80 0.00280028 0.00410041 0.0176018 0.170317 0.105011 0.137414 0.19612
 200 100 40 40 0.0020004 0.0030006 0.0118024 0.177536 0.0781156 0.104921 0.154231
 200 100 80 80 0.00530106 0.0075015 0.0186037 0.184437 0.120624 0.158432 0.212643
