# showered cut acceptances for CMSalphaT
# (colored sparticle combination given by filename)
# column 1: squark mass
# column 2: gluino mass
# column 3: lighter neutralino mass
# column 4: heavier neutralino mass
# columns 5 to 11: acceptances for combinations of the below cuts.
# column 5 is all the cuts. the next columns relax
# some of the cuts in a binary ordering. to relax cut
# n, go along 2^( n - 1 ) columns from column 5
# [e.g. column 6 relaxes cut 1, column 9 relaxes
# cut 3]. subsequent applications of this work
# [e.g. column 10 relaxes cuts 1 and 3, as it is
# column 5 + 2^( 1 - 1 ) + 2^( 3 - 1 )]
# cut 1: 2 jet pT cuts: 100, 100 GeV (also |eta| < 3)
# cut 2: cut on scalar sum of jet pTs > 350
# cut 3: CMS alphaT cut > 0.55
 200 300 0 0 0.0147015 0.0181018 0.0326033 0.137914 0.280928 0.321332 0.425443
 200 300 80 160 0.0194 0.0272 0.0391 0.2099 0.3063 0.3549 0.433
 200 300 80 80 0.0230046 0.0278056 0.0477095 0.169534 0.30046 0.341768 0.436887
 200 300 160 160 0.0293059 0.0422084 0.0511102 0.256451 0.211342 0.287057 0.286357
 200 400 0 160 0.0165033 0.0226045 0.0397079 0.203841 0.320564 0.363173 0.466393
 200 400 0 80 0.0203 0.0253 0.0452 0.1669 0.3349 0.3732 0.4834
 200 400 0 0 0.015103 0.0183037 0.0318064 0.134927 0.276355 0.311262 0.426885
 200 400 80 160 0.0171051 0.0258077 0.0358107 0.209563 0.30039 0.349005 0.422227
 200 400 80 80 0.0237024 0.0277028 0.0477048 0.168817 0.29923 0.338834 0.433843
 200 400 160 160 0.0316 0.044 0.0564 0.2706 0.2064 0.2769 0.2843
 200 500 0 160 0.0180018 0.0257026 0.0415042 0.208221 0.314231 0.359436 0.456946
 200 500 0 80 0.0215 0.0259 0.0458 0.1658 0.3157 0.3528 0.4709
 200 500 0 0 0.0131026 0.0165033 0.0281056 0.129226 0.259552 0.29826 0.40068
 200 500 80 160 0.016805 0.0239072 0.036811 0.214864 0.283485 0.330899 0.403721
 200 500 80 80 0.0231 0.0269 0.0493 0.1711 0.2882 0.3263 0.4355
 200 500 160 160 0.0295059 0.039808 0.0514103 0.262152 0.19984 0.268454 0.277055
 200 600 0 160 0.0142 0.0211 0.0351 0.213 0.3094 0.353 0.4502
 200 600 0 80 0.0211021 0.0263026 0.0437044 0.158116 0.321632 0.358536 0.474247
 200 600 0 0 0.0153046 0.016805 0.0327098 0.136741 0.274482 0.307592 0.426928
 200 600 80 160 0.0159016 0.0227023 0.0345035 0.212821 0.291129 0.332333 0.415042
 200 600 80 80 0.0207021 0.0256026 0.0422042 0.167117 0.283428 0.322232 0.423242
 200 600 160 160 0.0294059 0.0386077 0.0530106 0.259652 0.197339 0.263153 0.276755
 200 700 0 160 0.0170034 0.0243049 0.040008 0.217744 0.312763 0.353171 0.456791
 200 700 0 80 0.0194078 0.0241096 0.042517 0.164966 0.318027 0.356643 0.473589
 200 700 0 0 0.00977199 0.0114007 0.02443 0.140065 0.270358 0.29316 0.413681
 200 700 80 160 0.0168 0.0243 0.0337 0.2125 0.2845 0.331 0.4011
 200 700 80 80 0.0193 0.023 0.0418 0.1609 0.2796 0.3163 0.4205
 200 700 160 160 0.030009 0.0415125 0.0578173 0.269881 0.196559 0.26548 0.278784
 200 800 0 160 0.0160064 0.0230092 0.0396158 0.214586 0.307123 0.34954 0.452381
 200 800 0 80 0.0184018 0.0235024 0.0394039 0.166117 0.309831 0.348635 0.463646
 200 800 0 0 0.0133 0.0164 0.0302 0.133 0.2742 0.3137 0.4198
 200 800 80 160 0.016 0.0232 0.0328 0.2164 0.2684 0.3141 0.3895
 200 800 80 80 0.0214 0.0249 0.0467 0.1709 0.2743 0.3147 0.4129
 200 800 160 160 0.0244024 0.0341034 0.049605 0.263326 0.189319 0.257026 0.274227
 200 900 0 160 0.0156 0.022 0.0382 0.2064 0.3069 0.3468 0.4517
 200 900 0 80 0.0193019 0.0236024 0.0411041 0.162816 0.315532 0.353435 0.464146
 200 900 0 0 0.0106011 0.0124012 0.0234023 0.127713 0.231823 0.266427 0.381538
 200 900 80 160 0.016 0.0212 0.034 0.2103 0.2799 0.3224 0.4018
 200 900 80 80 0.0210021 0.0246025 0.0436044 0.167217 0.276528 0.316732 0.415142
 200 900 160 160 0.0255051 0.0356071 0.0506101 0.262452 0.194139 0.257652 0.272054
 200 1000 0 160 0.0148044 0.0198059 0.0371111 0.207462 0.313194 0.355007 0.459138
 200 1000 0 80 0.0166 0.0214 0.0394 0.1636 0.3119 0.3501 0.459
 200 1000 0 0 0.00910182 0.0119024 0.0232046 0.128626 0.236347 0.271954 0.386877
 200 1000 80 160 0.0152 0.0209 0.0319 0.207 0.2776 0.3235 0.397
